TAMANO,CNAE_3,EJERCICIO,ANTIGUEDAD,AUDITADA,COD_FORMASOC,COD_PROVINCIA,COM_END,COS_END,DISPONIBILIDAD,FON_MAN,GARANTIA,MARGEN,NIV_END,REC_GEN,REN_ECO,REN_FIN,REN_TOT,ROT_ACT,ROT_DER,ROT_EXI,SOLVENCIA,TES_ACI,IMP_HIST_INC_JUDICIALES,IMP_INC_JUDICIALES,NUM_CAMBIOS,NUM_EMPLEADOS,NUM_HIST_INC_GRAVES,NUM_HIST_INC_JUDICIALES,NUM_INC_JUDICIALES,NUM_ORG_SOC_ACTIVOS,OPI_AUDITORIA,RETRASO,VINC_GRUPO,FALLIDA3,Pérdidas
2,"1,00",2.000,10,1,2,45,0,"3,624715805054","0,014969365671","0,095058076084","1,126494765282","1,175243973732","7,905465602875","0,015988143161","1,135711312294","2,495668411255","3,716670989990","0,96636","1,532769203186","4,431643962860","1,108337163925","0,846252679825",0,0,6,71,0,0,0,33,1,0,1,0,0
2,"1,00",1.999,9,1,2,45,0,"4,033431529999","0,005733923055","0,125330224633","1,173947930336","1,992208719254","5,748847484589","0,024129794911","2,268191576004","6,376754283905","4,890878200531","1,13853","1,471537113190","5,725975513458","1,147827029228","0,918229222298",0,0,6,48,0,0,0,33,2,0,1,0,0
2,"1,00",2.001,11,1,2,45,0,"4,147132396698","0,015751762316","0,117921859026","1,162168264389","2,314316987991","6,166434288025","0,031603846699","2,757246494293","4,327123641968","4,672381401062","1,19139","1,372209668159","3,451754570007","1,138024806976","0,596151590347",0,0,6,76,0,0,0,33,0,0,1,0,0
2,"1,00",1.998,8,1,2,45,0,"4,925107955933","0,026168372482","0,091033712029","1,133352160454","2,506584167480","7,498940467834","0,046501249075","2,857357501984","26,861726760864","8,172711372375","1,13994","1,385994076729","8,225368499756","1,104130387306","0,951793253422",0,0,6,46,0,0,0,33,0,1,1,0,0
2,"1,00",2.002,12,1,2,45,0,"3,485568284988","0,013574533165","0,063581869006","1,148563981056","2,548065662384","6,731106281281","0,034043960273","3,449571609497","6,550182819366","4,362502574921","1,35380","2,873726606369","2,892447710037","1,073123097420","0,556686103344",0,0,6,76,0,0,0,33,2,0,1,0,0
2,"1,00",2.003,13,1,2,45,0,"3,875735044479","0,016123535112","0,073529474437","1,216329932213","3,655020475388","4,622568130493","0,070374011993","5,009241580963","13,172200202942","6,494348049164","1,37051","3,335358619690","3,447696685791","1,093275070190","0,660578966141",0,0,6,76,0,0,0,33,0,0,1,0,0
2,"1,00",1.998,2,1,1,17,1,"1,162668347359","0,001435983344","0,450536519289","4,397676944733","-3,741612911224","0,294318735600","-0,108739711344","-5,691815853119","-5,656357288361","-4,331255912781","1,52122","7,156137466431","3,217697858810","4,948117256165","1,366415381432",0,0,0,60,0,0,0,11,0,0,0,0,0
2,"1,00",1.999,3,1,1,17,1,"2,439259052277","0,000699676457","0,350267678499","2,862483739853","-0,141647577286","0,536917388439","0,070259109139","-0,202167987823","-1,177958488464","-0,117093086243","1,42726","8,059944152832","3,062431335449","2,768879890442","0,781019270420",0,0,0,66,0,0,0,11,1,0,0,0,0
2,"1,00",2.002,6,1,1,17,0,"2,402633666992","0,000012273834","0,325964748859","3,029100418091","0,423645734787","0,492829233408","0,193885654211","0,672953665257","0,239441588521","0,960725545883","1,58848","10,750794410706","3,143651485443","2,131965637207","0,574795007706",0,0,0,67,0,0,0,11,1,0,0,0,0
2,"1,00",2.003,7,1,1,17,0,"2,105850458145","0,097343042493","0,440419524908","5,789200782776","1,286973357201","0,208803117275","0,773295044899","1,793720960617","1,912856817245","2,329732656479","1,39375","7,688565254211","2,948416233063","4,047752857208","1,258890867233",0,0,0,70,0,0,0,11,0,0,0,0,0
2,"1,00",2.000,4,1,1,17,0,"2,893390893936","0,000598205603","0,351672828197","3,704182386398","7,519845962524","0,369797557592","0,978361189365","12,253036499024","12,906961441040","11,155817985535","1,62943","9,107807159424","3,250266075134","2,605230331421","0,728706002235",0,0,0,61,0,0,0,11,1,0,0,0,0
