@relation bankruptcy-spain-1998:2003

@attribute YEAR integer   %  FISCAL YEAR
@attribute SIZE {small,medium,big}   % SIZE
@attribute NUMBER_EMPLOYEES integer   % NUMBER OF EMPLOYEES
@attribute AGE integer   % AGE
@attribute SOCIAL_CODE {Co,Ltd,other}   % SOCIAL CODE OF THE COMPANY
@attribute LINKED_GROUP {no,yes}   % LINKED TO A GROUP
@attribute NUMBER_PARTNERS integer   % NUMBER OF PARTNERS
@attribute PROVINCE_CODE {1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,45,46,47,48,49,50,52}   % CODE OF PROVINCE
@attribute CHANGES_LOCATION integer   % NUMBER OF CHANGES OF LOCATION
@attribute DEBT_STRUCTURE numeric   % DEBT STRUCTURE
@attribute DEBT_COST numeric   % DEBT COST
@attribute DEBT_PAYING_AVAILABILITY numeric    % DEBT PAYING AVAILABILITY
@attribute DEBT_RATIO numeric   % DEBT RATIO
@attribute WORKING_CAPITAL numeric   % WORKING CAPITAL
@attribute WARRANTY numeric   % WARRANTY
@attribute OPERATING_INCOME_MARGIN numeric   % OPERATING INCOME MARGIN
@attribute RETURN_OPERATING_ASSETS numeric   % RETURN ON OPERATING ASSETS
@attribute RETURN_EQUITY numeric   % RETURN ON EQUITY
@attribute RETURN_ASSETS numeric   % RETURN ON ASSETS
@attribute STOCK_TURNOVER numeric   % STOCK TURNOVER
@attribute ASSET_TURNOVER numeric   % ASSET TURNOVER
@attribute RECEIVABLE_TURNOVER numeric   % RECEIVABLE TURNOVER
@attribute ASSET_ROTATION numeric   % ASSET ROTATION
@attribute FINANCIAL_SOLVENCY numeric   % FINANCIAL SOLVENCY (CURRENT RATIO)
@attribute ACID_TEST numeric   % ACID TEST
@attribute DELAY_ACCOUNTS {no,yes}   % DELAY (IN SENDING ITS ANNUAL ACCOUNTS)
@attribute NUMBER_JUDICIAL_INCIDENCES_TOTAL integer   % HISTORIC NUMBER OF JUDICIAL INCIDENCES
@attribute NUMBER_JUDICIAL_INCIDENCES_YEAR integer   % NUMBER OF JUDICIAL INCIDENCES (LAST YEAR)
@attribute SPENT_JUDICIAL_INCIDENCES_TOTAL numeric   % HISTORIC AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES
@attribute SPENT_JUDICIAL_INCIDENCES_YEAR numeric   % AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES (LAST YEAR)
@attribute NUMBER_SERIOUS_INCIDENCES integer   % HISTORIC NUMBER OF SERIOUS INCIDENCES
@attribute AUDITED {no,yes}   % AUDITED
@attribute AUDITORS_OPINION {nothing,positive,minor,negative}   % OPINION OF THE AUDITORY
@attribute BANKRUPTCY {NO,YES}   % FINANCIAL FAILURE

@data
1998,small,0,18,Ltd,no,16,9,1,0.277603775263,1.443287849426,1.352428674698,0.388062030077,0.437064200640,3.576907634735,4.148678779602,0.267839848995,2.929250478745,3.640227556229,3.259972572327,0.785785734653,1.489167451859,147.639587402343,2.997326850891,2.985660791397,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,3,5,Ltd,no,2,25,2,1.925350189209,4.269426822662,-1.399825692177,2.402796030045,-0.218905553222,1.416181802750,-5.493484020233,0.016517711803,-7.179452419281,0.904876172543,-3.495817899704,0.636357188225,3.196980714798,4.161456108093,0.093112014234,-0.575198173523,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,55,31,Co,no,9,50,2,0.143973156810,4.237088680267,0.030837832019,1.005254149437,0.180627390742,1.994773387909,-0.998840928078,0.365163892508,-3.055147647858,-1.426090955734,-3.330302476883,3.334167242050,6.886290073395,11.970827102661,1.412185788155,0.936005055904,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,medium,0,0,Co,no,11,14,2,0.059124182910,0.150491565466,0.328466355801,11.053015708923,0.031940627843,1.090473055840,2.224793910980,0.015384941362,13.787925720215,1.819483160973,1.819195151329,0.817691624165,1.429451584816,19.334768295288,1.036889672279,0.989132285118,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,medium,0,0,Co,no,11,37,1,0.000000000000,0.000000000000,15.085513114929,0.067746438086,0.899776101112,15.654463768005,,-0.104696445167,-0.709281086922,-0.668796122074,-0.669865727425,0.000000000000,,,15.085513114929,15.085513114929,yes,0,0,0.00,0.00,0,no,nothing,NO
1998,small,24,19,Co,no,5,49,2,0.000000000000,0.906210780144,0.086939767003,0.587613224983,0.275511026382,2.701799631119,-1.562061429024,-0.047176033258,-7.587355613708,-4.443686008453,-4.559491157532,2.918893814087,12.910361289978,7.642635822296,1.744375586510,0.697099864483,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,5,11,Ltd,no,2,46,0,1.027289152145,6.043835163116,0.291870325804,-2.841234683990,0.142231330276,0.648040354252,11.669687271118,0.093779444695,-21.547897338867,28.324958801270,28.197549819946,2.416307210922,3.544449567795,71.866302490234,1.186858534813,1.153913855553,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,44,22,Co,no,6,8,0,0.502384424210,3.816396474838,0.010987000540,6.043448448181,0.192524015903,1.165468454361,4.791943073273,0.220972344279,60.588443756104,10.566461563110,8.813043594360,1.839137792587,3.546832561493,6.814714908600,1.337105989456,0.917947471142,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,25,18,Co,no,5,14,0,0.479768395424,4.707349777222,0.012212122791,4.882751464844,-0.184379965067,1.204802513123,1.741002440453,0.029696449637,0.736634135246,4.076864242554,2.614270687103,1.501589298248,10.640913009644,6.201495170593,0.671282112598,0.267884910107,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,5,3,Ltd,no,11,8,0,1.296814203262,1.454692721367,0.356236606836,3.880376815796,0.443603456020,1.257706880569,0.562487602234,0.048510655761,5.847808361053,2.871352910995,2.858329057693,5.081585407257,7.624768733978,,2.281445741653,2.281445741653,no,0,0,0.00,0.00,0,no,nothing,NO
